Année,Mois,Valeur
1990,Janvier,83.70
1990,Février,89.56
1990,Mars,89.99
1990,Avril,91.37
1990,Mai,93.81
1990,Juin,89.73
1990,Juillet,90.64
1990,Août,90.71
1990,Septembre,89.02
1990,Octobre,90.31
1990,Novembre,89.56
1990,Décembre,91.81
1991,Janvier,94.61
1991,Février,94.76
1991,Mars,93.86
1991,Avril,94.24
1991,Mai,92.60
1991,Juin,91.78
1991,Juillet,92.39
1991,Août,92.70
1991,Septembre,91.92
1991,Octobre,92.22
1991,Novembre,92.78
1991,Décembre,92.00
1992,Janvier,92.72
1992,Février,93.11
1992,Mars,93.38
1992,Avril,94.36
1992,Mai,93.31
1992,Juin,93.60
1992,Juillet,92.87
1992,Août,90.25
1992,Septembre,91.79
1992,Octobre,90.78
1992,Novembre,91.76
1992,Décembre,92.16
1993,Janvier,89.97
1993,Février,91.43
1993,Mars,90.66
1993,Avril,90.43
1993,Mai,88.44
1993,Juin,90.21
1993,Juillet,90.38
1993,Août,91.08
1993,Septembre,93.41
1993,Octobre,91.34
1993,Novembre,90.77
1993,Décembre,89.14
1994,Janvier,90.23
1994,Février,89.61
1994,Mars,89.36
1994,Avril,89.15
1994,Mai,89.65
1994,Juin,90.28
1994,Juillet,92.34
1994,Août,98.03
1994,Septembre,91.30
1994,Octobre,91.36
1994,Novembre,92.98
1994,Décembre,92.75
1995,Janvier,92.74
1995,Février,92.66
1995,Mars,91.59
1995,Avril,92.89
1995,Mai,94.15
1995,Juin,95.15
1995,Juillet,91.71
1995,Août,93.90
1995,Septembre,94.29
1995,Octobre,94.59
1995,Novembre,93.62
1995,Décembre,93.22
1996,Janvier,94.24
1996,Février,95.37
1996,Mars,94.08
1996,Avril,94.22
1996,Mai,97.55
1996,Juin,94.21
1996,Juillet,95.87
1996,Août,95.95
1996,Septembre,95.96
1996,Octobre,96.11
1996,Novembre,94.84
1996,Décembre,97.39
1997,Janvier,95.59
1997,Février,96.14
1997,Mars,95.70
1997,Avril,99.07
1997,Mai,97.78
1997,Juin,97.26
1997,Juillet,95.34
1997,Août,98.09
1997,Septembre,99.09
1997,Octobre,100.53
1997,Novembre,99.60
1997,Décembre,102.11
1998,Janvier,101.32
1998,Février,99.95
1998,Mars,99.84
1998,Avril,98.29
